transaction_type_pattern,description_pattern,main_category,sub1,sub2,sub3,notes
.*,PARCEL YARD,WANT,EATING OUT,PUB,,
.*,PRINCE OF WALES,WANT,EATING OUT,PUB,,
.*,QUEENS ARMS,WANT,EATING OUT,PUB,,
.*,THE QUEEN HOTEL,WANT,EATING OUT,PUB,,
.*,The Wyvern,WANT,EATING OUT,PUB,,
.*,WILLIAMS ALE,WANT,EATING OUT,PUB,,
.*,WWW.BREWDOG.COM,WANT,EATING OUT,PUB,,
.*,CRAB AND DRAGON,WANT,EATING OUT,PUB,,
.*,GREYHOUND,WANT,EATING OUT,PUB,,
.*,CROOKHAM STREET SOCIAL,WANT,EATING OUT,PUB,,
.*,FOX AND HOUNDS,WANT,EATING OUT,PUB,,
.*,BELL INN,WANT,EATING OUT,PUB,,

.*,APPLE.COM,WANT,Entertainment,Apple TV,,
.*,Netflix,WANT,Entertainment,Netflix,,
.*,NETFLIX,WANT,Entertainment,Netflix,,
.*,Amazon Prime,WANT,Entertainment,Amazon Prime,,
.*,Prime Video,WANT,Entertainment,Amazon Prime,,
.*,CINEWORLD,WANT,Entertainment,Cinema,,
.*,Vue Cinemas,WANT,Entertainment,Cinema,,
.*,ALLWYN,WANT,Entertainment,Lottery,,This is my monthly lottery payment
.*,Spotify,WANT,Entertainment,Spotify,,
.*,Legoland,WANT,Entertainment,Legoland,,

.*,The Lost Est,WANT,Entertainment,Theatre,,
.*,LONDON THEATRE DIRECT,WANT,Entertainment,Theatre,,
.*,Tank Museum,WANT,Entertainment,Tank Museum,,

.*,DORSET NECTAR,WANT,Entertainment,Camping & Festivals,,
.*,TRUCK FESTIVAL,WANT,Entertainment,Camping & Festivals,,
.*,Decathlon,WANT,Entertainment,Camping & Festivals,,





.*,Temu,WANT,Household,Temu,,
.*,aliexpress,WANT,Household,aliexpress,,
.*,Argos,WANT,Household,Argos,,

.*,eBay,WANT,Household,ebay,,
.*,AMAZON,WANT,Household,Amazon,,


.*,SCREWFIX,WANT,Household,DIY,Refurbishment,
.*,GAPOGROUP,WANT,Household,DIY,Refurbishment,
.*,HIPPO WASTEWORLD,WANT,Household,DIY,Refurbishment,
.*,RADIATOR WORLD,WANT,Household,DIY,Refurbishment,
.*,VICTORIAN PLUMBING,WANT,Household,DIY,Refurbishment,
.*,ROBERT DYAS,WANT,Household,DIY,Refurbishment,
.*,SELCO,WANT,Household,DIY,Refurbishment,
.*,B & Q,WANT,Household,DIY,Refurbishment,
.*,insulation4le,WANT,Household,DIY,Refurbishment,
.*,INSULATION4LE,WANT,Household,DIY,Refurbishment,
.*,WICKES,WANT,Household,DIY,Refurbishment,
.*,PHILIP CARTER,WANT,Household,DIY,Refurbishment,
.*,PAUL LETTS,WANT,Household,DIY,Refurbishment,

.*,WIZARD CLINICS,WANT,Health,Skin Tag,,
.*,HOLLAND & BARRETT,WANT,Health,Vitamins & Minerals,,
.*,BOOTS OPTICIANS,WANT,Health,Contact Lenses,,
.*,BOOTS REWARDSCHEME,WANT,Health,Contact Lenses,,
.*,BOOTS.*FLEET,WANT,Health,Toiletries,,
.*,BOOTS.*BRIDGWATER,WANT,Health,Toiletries,,
.*,SUPERDRUG,WANT,Health,Toiletries,,
.*,SAVERS HEALTH,WANT,Health,Toiletries,,
.*,MYDENTIST,WANT,Health,Dentist,,
.*,CULTBEAUTY,WANT,Health,Perfume,,
.*,The Fragrance Shop,WANT,Health,Perfume,,
.*,Rituals Cosmetics,WANT,Health,Perfume,,
.*,Lush UK,WANT,Health,Perfume,,
.*,GLL,WANT,Health,Gym,,
.*,BETTER.ORG,WANT,Health,Gym,,
.*,DADDS N LADS,WANT,Health,Haircuts,,

.*,SAPPHIRE,WANT,To Sapphire,With Love,,
.*,GSUITE,WANT,To Sapphire,Desert workshop,,
.*,ALFIE MUMFORD,WANT,To Alfie,To Alfie,,
.*,DANIEL,WANT,To Daniel,To Daniel,,
.*,Daniel,WANT,To Daniel,To Daniel,,

ATM Withdrawal,.*,WANT,Cash Withdrawal,Cash,,

.*,Airbnb,WANT,Holidays,Weekend Break,,
.*,SESTRIERE,WANT,Holdays,Skiing,,
